M_pop_18,M_pop_20,M_pop_30,M_pop_50,M_pop_100,M_pop_200,S_pop_18,S_pop_20,S_pop_30,S_pop_50,S_pop_100,S_pop_200
7082526.514348932,7679163.480339164,7754341.469717775,7843818.428022407,7513466.354400551,7320779.5659450935,25652209.971652735,27138569.026766237,29143726.25803417,28038817.93362468,31159753.80644694,32157405.812915836
8178540.056036777,7350206.114803103,6689388.568290766,7870368.302185717,7552473.647284981,7764891.749914358,28408494.99506306,27016536.334765777,27268906.151413642,30143711.00614732,32079146.00000862,31625561.768338025
7589579.643888682,7407363.383144703,7362975.154719863,7968535.849228912,7754273.53350259,7626063.1688969685,26948703.176637646,27887861.724052124,27263404.501766436,31147212.68174044,31271386.68051141,32399399.352737978
7509233.448162747,7525458.134264515,8041916.544174558,7718646.222708537,7020205.356062326,7623836.19228201,28641440.46801143,27608482.1438233,29333534.2984278,31640952.0568485,31903467.849967316,31946825.676287137
7909865.317052858,7498680.149724633,7229711.309783412,7842109.573674541,7883750.102618135,7632408.80966775,27539926.520498008,26743287.930302594,28080063.464977827,30723569.91185154,30902200.63291656,31988640.879274525
7725607.377165255,7323017.674086655,7309961.980041625,7749845.90992688,7964244.839938749,7458688.915309466,24570899.093624882,25675335.634444162,27858432.427140422,30761288.87333172,32986367.529551364,31666932.209415987
7379390.543406225,8064223.01667417,7282003.150006196,8275726.229342551,7341982.94326251,7648194.539416249,24689789.625039883,27128557.830844384,28931362.923579246,28821584.467952818,30827194.554083705,31528072.75352075
7051241.068135981,7096072.23416516,6801193.388818913,8194259.054526435,7294747.117579189,7463897.778293552,27088656.50534839,25805859.101899847,29142635.863985192,28853354.379260525,30662734.472038597,30313303.476877525
7516294.453002009,7798039.300296438,6921546.650678648,7553672.27540684,7158762.44524339,7895429.004033037,25485770.782839574,28454976.557415605,27555075.03211488,27793054.05174955,30659226.686877396,30992925.090170793
7156957.053191314,7042289.383455468,8175752.618294016,7923798.527878563,7396883.504462892,7216972.305038436,26896699.472256117,25978126.62364486,27761895.43215567,30658554.526345372,32353944.53015985,31560517.9313227
7184672.414195753,8009379.093136761,7109851.121758662,8327142.320041046,7062197.719419555,7620852.010092609,26542693.869371265,25606047.336375467,27843293.65048232,31057451.50354319,31842035.294054724,31582519.289825015
